[LogInfo] Page generation time: 0.21945285797119 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21236991882324 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22864103317261 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21670699119568 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.24099612236023 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22773003578186 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21921300888062 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.27952194213867 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21738409996033 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21430611610413 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22578597068787 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21193313598633 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.23062992095947 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.2200870513916 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22370100021362 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22132897377014 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21974587440491 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22780799865723 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.27548289299011 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22327184677124 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21737003326416 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.28122401237488 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.23150706291199 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.24818110466003 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22666788101196 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22852683067322 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22211694717407 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.00011706352233887 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.0001070499420166 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.34787487983704 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21808791160583 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.13621091842651 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21926784515381 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21917009353638 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.271653175354 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21944499015808 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21898102760315 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21214509010315 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22795987129211 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21750593185425 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.23070502281189 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21766805648804 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.22028207778931 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.28033494949341 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21636009216309 seconds | Page:localhost/astracore/index.php | INFO
[LogInfo] Page generation time: 0.21998691558838 seconds | Page:localhost/astracore/index.php | INFO
