[ Logger_Oscar - 2025-09-18 07:07:28 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00032305717468262 seconds
[ Logger_Oscar - 2025-09-18 07:07:36 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.03043794631958 seconds
[ Logger_Oscar - 2025-09-18 07:07:58 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00064206123352051 seconds
[ Logger_Oscar - 2025-09-18 07:07:59 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00030994415283203 seconds
[ Logger_Oscar - 2025-09-18 07:08:13 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00017499923706055 seconds
[ Logger_Oscar - 2025-09-18 07:10:43 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00083112716674805 seconds
[ Logger_Oscar - 2025-09-18 07:10:44 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00066900253295898 seconds
[ Logger_Oscar - 2025-09-18 07:10:45 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00065493583679199 seconds
[ Logger_Oscar - 2025-09-18 07:10:45 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00063705444335938 seconds
[ Logger_Oscar - 2025-09-18 07:10:46 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0007319450378418 seconds
[ Logger_Oscar - 2025-09-18 07:10:46 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0006558895111084 seconds
[ Logger_Oscar - 2025-09-18 07:10:46 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00063395500183105 seconds
[ Logger_Oscar - 2025-09-18 07:10:46 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00070285797119141 seconds
[ Logger_Oscar - 2025-09-18 07:10:47 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00090503692626953 seconds
[ Logger_Oscar - 2025-09-18 07:10:47 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00075101852416992 seconds
[ Logger_Oscar - 2025-09-18 07:10:47 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00061702728271484 seconds
[ Logger_Oscar - 2025-09-18 07:10:57 | Category: INFO | URL: http://localhost/astracore/ | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.00043010711669922 seconds
[ Logger_Oscar - 2025-09-18 07:13:20 | Category: INFO | URL: http://localhost/astracore/signup | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0010008811950684 seconds
[ Logger_Oscar - 2025-09-18 07:14:33 | Category: INFO | URL: http://localhost/astracore/login | SessionID: 93c219e811a9152f6e44cb192b6aa48e ] Page generation time: 0.0010809898376465 seconds
[ Logger_Oscar - 2025-09-18 07:15:36 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00087594985961914 seconds
[ Logger_Oscar - 2025-09-18 07:15:42 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00098395347595215 seconds
[ Logger_Oscar - 2025-09-18 07:15:47 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.00066709518432617 seconds
[ Logger_Oscar - 2025-09-18 07:16:26 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0011270046234131 seconds
[ Logger_Oscar - 2025-09-18 07:20:44 | Category: INFO | URL: http://localhost/astracore/ | SessionID: a6b3530502cc7cf7c069f5b5c8ea3843 ] Page generation time: 0.0011718273162842 seconds
